#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-25T13:42:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ549c13b65cc2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_Glon,_Glat
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=Cluster
#-out=Dist
#WEBDA=WEBDA
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2014)
#Coosys	G:	galactic
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.4)
#Column	_Glon	(F7.3)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F7.3)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
_Glon|_Glat|Cluster|Dist
014.307| -0.288|NGC 6596         | 1100
308.157| +0.200|ESO 132 14       | 1100
238.780|-14.817|Ruprecht 3       | 1100
264.923|-10.444|Alessi 34        | 1100
171.837| -1.029|ASCC 14          | 1100
292.457|+13.363|NGC 3909         | 1100
235.702| -9.991|Collinder 121    | 1100
119.926| -0.102|Stock 20         | 1100
159.303| -3.039|NGC 1582         | 1100
211.258| +3.409|NGC 2319         | 1100
304.035| +3.240|NGC 4852         | 1100
264.482| -0.284|BH 54            | 1102
042.842| +3.577|NGC 6724         | 1105
072.751| +1.346|Biurakan 2       | 1106
335.222| -1.427|NGC 6167         | 1108
309.161| -0.714|NGC 5281         | 1108
060.367|+10.922|NGC 6743         | 1111
076.667| +1.273|Berkeley 86      | 1112
099.092| +0.964|FSR 0336         | 1116
221.623|-23.708|NGC 2017         | 1120
315.660| +0.298|Ruprecht 111     | 1121
120.257| +1.289|FSR 0496         | 1123
345.468| +2.466|NGC 6242         | 1131
143.625|+29.466|NGC 2408         | 1133
277.830| -4.419|IC 2488          | 1134
344.701| +1.496|Trumpler 24      | 1138
078.683| +2.013|NGC 6910         | 1139
308.720| -0.875|SAI 118          | 1140
016.478| -3.112|Ruprecht 171     | 1140
036.294|+29.166|Dol Dzim 7       | 1140
124.939| -1.223|NGC 381          | 1148
076.905| +0.594|NGC 6913         | 1148
078.466| +1.362|FSR 0224         | 1150
009.255|-10.792|NGC 6698         | 1150
248.826| -3.039|SAI 82           | 1150
145.100| -3.966|Czernik 15       | 1155
336.711| -1.574|NGC 6193         | 1155
021.050| +1.200|Ruprecht 170     | 1159
290.025| +0.385|Feinstein 1      | 1159
024.294| -0.287|NGC 6664         | 1164
095.496| -7.339|NGC 7209         | 1168
307.103| -1.640|Collinder 271    | 1169
102.812| +1.228|FSR 0354         | 1169
224.685| +0.384|NGC 2353         | 1170
324.361| +1.720|NGC 5925         | 1170
343.817|+19.809|NGC 5998         | 1170
322.442| +5.946|NGC 5800         | 1170
311.602| +2.114|NGC 5381         | 1170
252.500|-23.926|NGC 2220         | 1170
016.784| -2.918|FSR 0052         | 1173
029.090| -0.443|FSR 0087         | 1174
029.940|+14.938|NGC 6481         | 1180
207.484| -3.166|FSR 1031         | 1180
359.994| +0.156|Dutra Bica 58    | 1182
227.533| +1.344|Haffner 8        | 1182
299.984| +1.954|Harvard 5        | 1184
035.007| -6.063|NGC 6775         | 1185
080.477| +0.617|FSR 0238         | 1186
267.485| -3.625|NGC 2670         | 1188
108.955| +0.272|NGC 7429         | 1190
012.352| -1.243|Turner 2         | 1190
205.343| +0.327|Collinder 111    | 1191
210.102| -0.755|Alessi 16        | 1191
003.656| +1.783|Dutra Bica 45    | 1192
321.125| +2.460|NGC 5823         | 1192
353.930| -1.774|NGC 6396         | 1192
164.060| +0.519|FSR 0734         | 1193
026.355| -0.788|NGC 6683         | 1197
161.677| -0.446|NGC 1664         | 1199
148.096| -1.292|NGC 1444         | 1199
104.849| +5.394|ASCC 117         | 1200
292.555| +2.757|Loden 372        | 1200
217.118| -1.457|ASCC 27          | 1200
131.231| -4.813|Stock 4          | 1200
090.420| +3.190|FSR 0290         | 1200
077.208| +4.999|Dolidze 38       | 1200
344.397| +1.807|ESO 332 08       | 1200
295.713| +3.659|Loden 480        | 1200
219.693| -2.605|NGC 2306         | 1200
277.903| -0.904|ASCC 54          | 1200
283.661| -6.830|NGC 3036         | 1200
007.138| -2.137|Collinder 367    | 1200
339.899| -0.211|ASCC 85          | 1200
111.468| +0.140|FSR 0422         | 1200
130.346| -4.337|ASCC 6           | 1200
338.560| -1.040|NGC 6204         | 1200
118.463| -6.888|ASCC 2           | 1200
209.778| +1.833|FSR 1051         | 1202
162.266| +1.609|Berkeley 15      | 1202
280.719| +0.059|BH 87            | 1203
007.677| -0.355|NGC 6531         | 1205
353.165| +0.895|NGC 6357         | 1205
028.281| +0.011|Trumpler 35      | 1206
132.404| -6.159|NGC 744          | 1207
242.451| -5.752|Ruprecht 20      | 1208
297.291| -0.907|NGC 4052         | 1209
135.870| -0.571|Czernik 11       | 1210
002.359| -5.402|ESO 456 72       | 1211
355.064| -0.742|Trumpler 27      | 1211
244.943| +1.084|ESO 494 09       | 1212
178.749| -0.185|FSR 0821         | 1213
310.229| +0.115|NGC 5316         | 1215
079.210|+12.015|NGC 6811         | 1215
338.561| -1.143|Hogg 22          | 1216
181.393| -3.410|Dol Dzim 4       | 1220
016.583| -0.467|Kronberger 25    | 1220
333.089| -1.187|ESO 226 06       | 1220
192.240|-13.560|Dol Dzim 2       | 1220
149.847| +0.187|NGC 1496         | 1230
092.321| -0.162|FSR 0295         | 1230
011.554| +3.028|NGC 6507         | 1230
082.330| +0.757|FSR 0251         | 1233
088.125| +0.607|NGC 7011         | 1236
088.750| -1.244|Basel 13         | 1236
078.143| +3.519|FSR 0219         | 1238
292.402| -1.799|IC 2714          | 1238
082.928| +2.200|FSR 0255         | 1238
300.457| -5.724|ESO 064 05       | 1239
239.624|-16.518|ESO 426 26       | 1240
233.267| -5.981|Ruprecht 11      | 1241
117.625| +2.268|Stock 18         | 1242
343.464| +1.184|NGC 6231         | 1243
190.779| -0.774|FSR 0900         | 1243
015.782| -3.588|NGC 6645         | 1245
282.984| +0.438|BH 92            | 1249
114.302| -2.643|FSR 0443         | 1250
299.659| +2.270|Ruprecht 104     | 1250
064.910|-10.743|NGC 6938         | 1250
060.451| -6.154|NGC 6873         | 1250
300.149| +1.853|Hogg 23          | 1250
167.085| -2.764|FSR 0744         | 1250
306.494| -1.025|Teutsch 79       | 1250
294.840| +0.669|Ruprecht 95      | 1251
113.994| +2.032|FSR 0442         | 1252
016.965| -1.035|Dolidze 28       | 1258
240.104| -0.744|Ruprecht 29      | 1259
116.325| +0.665|Kronberger 55    | 1260
347.342| -0.390|Teutsch 85       | 1260
334.917| -0.198|NGC 6134         | 1260
210.662| -0.734|Dolidze 24       | 1261
273.754| -0.937|Ruprecht 76      | 1262
001.238| -1.085|Ruprecht 168     | 1263
307.574| -0.297|Trumpler 21      | 1263
355.061|+12.428|ESO 518 03       | 1266
092.561| -1.646|Platais 1        | 1268
024.119| -1.264|Trumpler 34      | 1273
318.759| -6.977|ESO 099 06       | 1274
114.729|-11.315|NGC 7801         | 1275
097.449| +5.597|NGC 7055         | 1275
313.769| +3.255|Loden 1289       | 1278
300.674| -3.809|FSR 1617         | 1278
189.728|+15.218|NGC 2331         | 1285
246.246| -0.043|Turner 12        | 1290
215.993|-10.102|NGC 2215         | 1293
075.347| -0.500|Kronberger 57    | 1295
014.183| -1.011|NGC 6613         | 1296
193.837| +2.328|FSR 0927         | 1296
293.163| -7.123|Ruprecht 163     | 1297
094.407| +0.220|NGC 7086         | 1298
211.763| -3.743|FSR 1065         | 1298
267.926| -1.466|Muzzio 1         | 1300
266.373| -1.895|Ruprecht 71      | 1300
246.442| -4.467|NGC 2439         | 1300
237.889| -8.144|Ruprecht 13      | 1300
283.828| -3.698|Trumpler 12      | 1300
309.950| -5.609|Ruprecht 110     | 1300
299.991| -4.824|ASCC 71          | 1300
072.147| +0.291|Berkeley 51      | 1300
245.930| +0.347|Ruprecht 43      | 1300
172.639| -0.323|FSR 0775         | 1300
015.095| -0.745|NGC 6618         | 1300
306.168| -3.513|Collinder 269    | 1300
266.450| -2.998|Ruprecht 69      | 1300
176.490| -0.110|FSR 0807         | 1300
049.393| -1.321|FSR 0129         | 1303
295.386| -0.532|Loden 467        | 1305
048.547| -0.182|FSR 0126         | 1305
314.898| -0.900|Hogg 17          | 1310
104.794| -6.422|NGC 7394         | 1310
051.360|-10.304|NGC 6858         | 1310
000.555| -0.529|Collinder 351    | 1310
265.082| -2.579|Pismis 8         | 1312
329.836| -3.284|Harvard 10       | 1312
275.150| -1.145|Pismis 14        | 1314
047.170| -2.095|Dolidze 35       | 1317
015.024| -1.630|Dolidze 52       | 1318
083.584| +0.678|FSR 0258         | 1318
301.895| -0.142|NGC 4609         | 1320
276.146|-12.754|NGC 2609         | 1320
152.590| -1.574|NGC 1513         | 1320
341.605| +0.909|Lynga 13         | 1327
203.779| -0.120|Basel 8          | 1328
203.577| +0.106|NGC 2251         | 1329
006.083| -1.331|NGC 6530         | 1330
174.534| +1.072|NGC 1960         | 1330
213.302| +0.301|FSR 1085         | 1330
312.302| +2.838|Loden 1202       | 1330
019.045| +0.795|NGC 6625         | 1335
226.048| -4.460|NGC 2318         | 1335
276.027|+30.688|ESO 502 19       | 1338
149.740| -0.197|Juchert 19       | 1340
038.647| -1.638|Czernik 39       | 1340
253.563| -5.838|NGC 2477         | 1341
249.106| +3.532|NGC 2571         | 1342
332.547| -1.798|Ruprecht 118     | 1343
241.626| +2.035|NGC 2482         | 1343
356.010| -0.304|Trumpler 28      | 1343
358.440| -1.919|Dutra Bica 51    | 1346
315.167| -3.258|Loden 1375       | 1346
092.931| +2.797|Kronberger 80    | 1355
243.172| +0.378|NGC 2467         | 1355
066.135| -6.311|NGC 6904         | 1355
090.820| -0.105|Basel 15         | 1355
296.792| -0.490|Ruprecht 97      | 1357
290.986| -0.135|Trumpler 18      | 1358
177.632| -0.106|FSR 0817         | 1359
062.005| -0.701|Czernik 41       | 1360
125.351| -0.440|Stock 3          | 1363
233.705|+11.112|NGC 2539         | 1363
267.488| +0.650|ESO 260 17       | 1366
021.635| -0.785|NGC 6649         | 1369
321.043| -0.702|Lynga 3          | 1369
130.221| -6.299|NGC 657          | 1372
273.762|-67.488|ESO 245 09       | 1380
049.167| -0.979|Kronberger 13    | 1380
065.781| -3.849|NGC 6882         | 1380
306.559|-21.442|ESO 008 06       | 1380
276.202| +0.688|FSR 1496         | 1380
073.277| +1.175|NGC 6883         | 1380
028.120| +0.438|Dolidze 32       | 1381
177.635| +3.091|NGC 2099         | 1383
029.621| -1.385|FSR 0090         | 1388
005.149| -0.515|Ruprecht 169     | 1390
060.941| -0.108|Dolidze 53       | 1392
257.865| +0.502|Pismis 3         | 1394
261.935| -5.112|Moitinho 1       | 1394
276.835| +2.776|Collinder 213    | 1400
242.494| -2.499|ESO 493 03       | 1400
112.819| +0.434|NGC 7654         | 1400
190.181| +9.728|ASCC 25          | 1400
235.596| -3.837|NGC 2367         | 1400
225.475| -2.568|BDSB96           | 1400
280.202| +0.069|Ruprecht 85      | 1400
313.112| -0.288|Loden 1256       | 1400
148.571| +0.362|FSR 0656         | 1400
170.985| +0.077|ASCC 15          | 1400
073.941| +3.576|Dolidze 37       | 1400
208.983| -0.078|NGC 2270         | 1400
181.779| -3.051|NGC 1996         | 1400
355.015|-21.894|ESO 282 26       | 1400
172.250| +0.695|NGC 1912         | 1400
260.586| +1.469|ESO 313 12       | 1401
005.199| -0.469|Ruprecht 136     | 1405
135.796| -1.579|Czernik 8        | 1409
124.265| -0.058|Czernik 3        | 1410
056.114| -5.152|NGC 6839         | 1410
308.955| -0.668|NGC 5269         | 1410
327.200| +2.270|Loden 2313       | 1410
032.183| -1.206|Berkeley 80      | 1413
038.256| +1.778|Archinal 1       | 1413
135.650| -2.310|FSR 0596         | 1417
329.745| -2.205|NGC 6067         | 1417
223.600| -1.183|NGC 2335         | 1417
187.234| -5.059|NGC 2026         | 1418
038.598| -1.688|NGC 6755         | 1421
028.039| +0.167|Dolidze 34       | 1422
345.800| -0.164|ESO 332 22       | 1422
329.384| +2.882|FSR 1714         | 1423
093.559| +0.671|FSR 0304         | 1423
078.426| +2.648|FSR 0223         | 1427
212.940| +1.914|FSR 1080         | 1429
119.444| -0.922|Mayer 1          | 1430
320.111| -0.626|Loden 2045       | 1434
076.207| -0.545|FSR 0210         | 1434
354.285| -0.917|Ruprecht 126     | 1435
037.378|+15.890|NGC 6525         | 1436
072.111| -0.510|Patchick 75      | 1442
091.199| -2.905|NGC 7082         | 1442
305.927| -2.243|Ruprecht 107     | 1442
191.006| -0.613|FSR 0903         | 1444
162.161|+15.130|NGC 2165         | 1445
286.088| -2.635|NGC 3255         | 1445
073.657| +1.828|Dolidze 1        | 1445
298.025| +7.445|NGC 4230         | 1445
097.907| +1.150|NGC 7127         | 1445
123.046| +1.780|FSR 0519         | 1450
004.851| -0.921|Ruprecht 137     | 1450
296.296| -0.490|Teutsch 77       | 1450
238.754| -1.169|Ruprecht 25      | 1456
216.848| +0.803|Wit 2            | 1456
352.601| -2.166|FSR 1767         | 1457
088.295| -1.246|Basel 12         | 1466
033.556| -2.259|NGC 6735         | 1466
352.880| -2.498|Ruprecht 127     | 1466
207.415| -5.522|Collinder 91     | 1467
339.606| -4.033|Harvard 13       | 1467
058.811| -4.682|Roslund 3        | 1467
008.906| -0.268|FSR 0031         | 1468
228.415| +1.020|NGC 2374         | 1468
307.930| +3.754|FSR 1657         | 1469
168.903| -2.015|NGC 1778         | 1469
079.560| +6.839|NGC 6866         | 1470
011.983| -0.931|Markarian 38     | 1471
167.277| +2.684|Collinder 62     | 1472
238.213| -3.332|Trumpler 7       | 1474
341.152| +0.283|BH 200           | 1475
333.024| +5.853|ESO 275 01       | 1475
089.959| -2.748|NGC 7062         | 1480
238.179| -5.548|NGC 2362         | 1480
146.065| -2.822|Berkeley 9       | 1480
309.216| +0.195|Loden 991        | 1481
012.733| -0.871|Collinder 469    | 1481
281.861|+12.789|NGC 3446         | 1485
255.056| +0.557|Collinder 185    | 1486
317.717|-19.339|ESO 043 13       | 1490
241.601| -2.526|Ruprecht 27      | 1490
349.156| -1.774|Trumpler 25      | 1490
249.373| -5.244|ESO 368 11       | 1490
240.015| -9.647|Ruprecht 150     | 1490
082.356| +2.957|Wit 4            | 1490
291.603| +2.364|BH 118           | 1493
080.156| +1.562|Dolidze 44       | 1499
331.909| -0.280|Ruprecht 176     | 1499
287.969| -8.597|ASCC 57          | 1500
275.964| -2.409|ASCC 52          | 1500
224.610| -2.509|vdBergh 92       | 1500
094.254| -0.775|FSR 0307         | 1500
305.474| -0.630|NGC 5045         | 1500
333.982|-13.805|ESO 139 13       | 1500
348.501| -3.403|Ruprecht 125     | 1500
208.123| -7.904|Ferrero 11       | 1500
123.855| -7.020|ASCC 5           | 1500
219.297| -3.117|NGC 2302         | 1500
312.580| +1.693|Loden 1225       | 1500
237.953| -1.719|ASCC 39          | 1500
193.230| -1.019|FSR 0923         | 1500
110.178| +2.765|ASCC 125         | 1500
320.923| -2.732|ASCC 80          | 1500
290.142| -0.768|ASCC 64          | 1500
314.712| -0.302|Pismis 19        | 1500
102.739|-44.273|NGC 7772         | 1500
163.944| -3.809|FSR 0733         | 1500
294.563| +0.711|ASCC 67          | 1500
325.077| -2.643|Collinder 292    | 1500
063.269| +6.643|ASCC 102         | 1500
317.528| +2.084|NGC 5715         | 1500
006.158| -4.278|ASCC 95          | 1500
276.914| +4.544|BH 85            | 1501
262.797| -0.792|Ruprecht 67      | 1504
123.178| +2.923|FSR 0522         | 1506
039.088| -1.681|NGC 6756         | 1507
121.010| +2.313|Patchick 78      | 1507
194.259| +2.474|FSR 0929         | 1508
335.460| -6.251|NGC 6253         | 1510
231.858| +4.064|NGC 2437         | 1510
085.479| -0.467|NGC 6997         | 1513
359.738| -0.333|Collinder 347    | 1514
078.775| +2.629|Kronberger 58    | 1515
029.491| -0.980|FSR 0089         | 1516
314.647| -0.581|Trumpler 22      | 1516
228.256| -0.776|Basel 11a        | 1520
295.828| +0.763|Loden 481        | 1520
109.513|-11.608|NGC 7686         | 1534
320.765| +6.426|Hogg 18          | 1535
056.279| -4.654|Harvard 20       | 1540
168.405| +1.259|NGC 1857         | 1545
332.073|+12.822|ESO 329 02       | 1546
078.575| -2.800|FSR 0225         | 1546
340.647| +2.122|NGC 6192         | 1547
284.567| -0.342|Collinder 220    | 1547
074.906| +3.298|Basel 6          | 1548
019.744| -0.559|FSR 0059         | 1550
334.399| -2.347|Collinder 307    | 1551
179.212|+11.846|NGC 2240         | 1551
294.887| +0.735|ESO 129 32       | 1560
325.494| -8.601|ESO 137 23       | 1561
320.811| +1.569|FSR 1697         | 1562
072.645| +2.054|NGC 6871         | 1574
135.352| -0.211|Czernik 10       | 1575
290.510| +1.596|Stock 13         | 1577
290.875| +0.205|Collinder 240    | 1577
344.966| +0.458|BH 211           | 1579
235.984| +5.381|NGC 2479         | 1585
307.477| +1.337|Hogg 16          | 1585
182.058| +0.425|Dutra Bica 83    | 1586
151.176| +2.124|Mayer 2          | 1589
210.489| -1.099|Alessi 15        | 1599
020.749| -1.278|Ruprecht 144     | 1600
166.986| -1.003|Bica 6           | 1600
119.754| +0.004|SAI 4            | 1600
075.354| -1.425|Teutsch 30       | 1600
071.860| +2.426|Teutsch 8        | 1600
120.996| +8.602|NGC 110          | 1600
123.581| +5.606|Skiff J0058+68.4 | 1600
237.690| -5.454|ASCC 37          | 1600
072.732| +1.744|Biurakan 1       | 1600
053.770| +0.164|Teutsch 42       | 1600
111.900| -5.697|Stock 11         | 1600
330.369| +0.323|Lynga 6          | 1600
074.621| +2.078|ASCC 111         | 1600
023.879| -2.914|NGC 6694         | 1600
283.959| -3.850|Hogg 6           | 1600
279.617| +0.377|FSR 1518         | 1602
351.736| -1.645|Harvard 16       | 1604
245.648| -3.927|ESO 429 13       | 1606
344.259| +1.594|BH 202           | 1607
233.703| -2.632|FSR 1255         | 1607
117.399|+10.788|NGC 7708         | 1607
320.821| -2.054|FSR 1698         | 1608
248.048| +0.270|Ruprecht 51      | 1609
244.580| -6.814|Ruprecht 21      | 1609
299.757| +6.297|Ruprecht 165     | 1609
256.948| -8.373|ESO 311 14       | 1613
131.203| -1.634|NGC 743          | 1618
104.445| +0.288|NGC 7281         | 1620
120.270| -2.543|NGC 129          | 1625
190.043| +0.482|NGC 2175         | 1627
222.780| +0.351|NGC 2349         | 1628
128.179| -0.945|Czernik 4        | 1630
297.574| +1.155|NGC 4103         | 1632
339.479| -0.335|BH 197           | 1633
190.976| +2.285|FSR 0902         | 1633
329.060|+28.027|ESO 447 29       | 1634
290.265| +1.335|Basel 17         | 1636
156.888| -2.158|FSR 0686         | 1638
060.135| -1.800|NGC 6830         | 1639
015.119|-18.022|ESO 525 08       | 1640
011.422| -1.712|NGC 6595         | 1640
018.444| -0.415|Bica 3           | 1640
275.706| -1.881|Ruprecht 78      | 1641
211.228| -0.401|vdBergh 85       | 1641
020.004| -1.398|Ruprecht 143     | 1649
291.204| -0.178|NGC 3590         | 1651
080.277| +0.948|FSR 0236         | 1656
327.380|-10.741|ESO 137 43       | 1659
244.791| +0.239|NGC 2483         | 1659
135.417| -0.487|Czernik 9        | 1660
206.306| -2.072|NGC 2244         | 1660
262.148| +0.787|NGC 2671         | 1660
109.993| -0.086|Reiland 1        | 1664
264.787| -2.908|NGC 2645         | 1668
076.652| +4.629|Dol Dzim 10      | 1670
242.593| -4.161|ESO 429 02       | 1670
063.453| +0.829|Turner 1         | 1675
095.587| -1.548|Barkhatova 2     | 1676
249.795| +2.961|NGC 2567         | 1677
162.125| -2.408|Berkeley 68      | 1678
096.161| -1.589|FSR 0319         | 1680
242.593| -0.334|Ruprecht 36      | 1681
203.816| +0.530|Basel 7          | 1684
091.426| -2.024|NGC 7071         | 1684
208.555| -1.808|vdBergh 1        | 1687
207.887| +0.299|NGC 2269         | 1687
121.964| +1.213|Dias 1           | 1690
346.782| -1.513|BH 217           | 1693
347.492| +1.733|ESO 332 20       | 1695
074.317| +1.265|Kronberger 73    | 1695
018.247| +1.695|NGC 6604         | 1696
355.911| +0.907|BH 231           | 1699
120.021| -7.477|ASCC 3           | 1700
177.066| -0.406|Koposov 36       | 1700
286.410| +1.937|ASCC 61          | 1700
162.267| -2.138|FSR 0717         | 1700
002.212| -0.643|Czernik 37       | 1700
247.800| +1.310|NGC 2533         | 1700
245.831| +3.581|Ruprecht 53      | 1700
072.176| +2.607|FSR 0198         | 1700
303.125| +2.104|Loden 694        | 1700
334.543| +1.070|Lynga 9          | 1700
132.881| +2.792|Stock 6          | 1700
138.616| +8.879|Berkeley 10      | 1700
120.134| -4.834|Stock 21         | 1700
279.556| -7.504|Ruprecht 159     | 1701
089.683|+13.527|NGC 6856         | 1704
226.132| -2.320|FSR 1202         | 1706
220.597| +2.487|FSR 1153         | 1706
335.282|-17.142|ESO 139 54       | 1706
229.861| +2.434|FSR 1227         | 1706
095.593| +2.056|FSR 0314         | 1710
195.104|-15.317|Dolidze 19       | 1710
266.700| -2.841|ESO 260 06       | 1711
264.179| -1.650|NGC 2659         | 1713
268.640| +3.216|Pismis 12        | 1714
292.904| -2.412|Melotte 105      | 1715
069.107| +0.519|Kronberger 54    | 1715
007.907| -0.030|Teutsch 14a      | 1720
223.952| -9.684|Ruprecht 1       | 1720
017.207| +1.288|Trumpler 32      | 1720
062.710| +1.345|FSR 0160         | 1721
348.904| +2.608|BH 214           | 1723
106.958| +0.117|FSR 0385         | 1726
115.667| -1.173|FSR 0451         | 1732
089.067| +2.598|FSR 0284         | 1734
090.055| +0.927|FSR 0288         | 1734
196.660| -2.999|FSR 0952         | 1734
019.871| -1.352|Ruprecht 142     | 1735
216.301| +3.248|FSR 1113         | 1737
207.154| -0.889|Collinder 107    | 1738
294.942| -0.635|Bica 5           | 1740
101.975| -0.600|Teutsch 126      | 1740
148.121| +0.287|FSR 0655         | 1742
307.221|-16.341|ESO 021 06       | 1745
337.910| -1.229|Hogg 20          | 1750
143.942| +3.573|Tombaugh 5       | 1750
092.005|+16.349|NGC 6832         | 1750
236.774| -6.263|NGC 2352         | 1750
212.647| -2.524|FSR 1077         | 1753
251.968|-18.039|ESO 309 03       | 1753
313.589| +1.980|Loden 1282       | 1753
012.397| -3.228|Trumpler 33      | 1755
083.988| -1.090|FSR 0261         | 1758
011.661| -1.744|Dias 5           | 1760
084.265| -3.877|NGC 7024         | 1760
074.792| +0.578|Kronberger 74    | 1760
075.726| +0.981|Berkeley 85      | 1760
079.133| -9.761|NGC 7037         | 1760
218.789| +0.350|Bochum 3         | 1762
278.700| +3.374|BH 88            | 1770
324.790| -1.194|Lynga 5          | 1771
121.968| -2.707|Czernik 2        | 1775
188.792| +2.387|Kronberger 12    | 1775
290.798| +0.077|Hogg 10          | 1776
279.842| -1.734|Hogg 2           | 1777
307.732| +1.562|NGC 5168         | 1777
055.326| +0.917|NGC 6802         | 1778
215.399|+31.694|Chupina 1        | 1783
091.043| -4.348|NGC 7093         | 1785
300.068| +2.639|NGC 4439         | 1785
124.678| -0.591|NGC 366          | 1785
241.648|-10.341|ESO 427 32       | 1786
196.918| -2.539|FSR 0956         | 1786
338.952|-26.173|ESO 141 47       | 1787
266.795| +9.209|ESO 315 14       | 1789
081.498| +0.618|FSR 0245         | 1790
012.360| -1.342|Turner 3         | 1790
340.370| +1.869|ESO 277 04       | 1790
291.265| +2.581|ESO 129 19       | 1791
207.235| +3.644|FSR 1029         | 1791
294.849| -1.654|IC 2944          | 1794
215.468| -6.238|NGC 2250         | 1795
115.532| -5.385|NGC 7789         | 1795
053.212| +3.354|Berkeley 44      | 1800
080.223| +0.787|Bica 2           | 1800
080.138| +0.743|Bica 1           | 1800
126.049| -1.414|FSR 0534         | 1800
095.903|+12.304|NGC 6939         | 1800
006.475| -2.389|ESO 521 38       | 1800
285.320| -8.818|Ruprecht 84      | 1800
143.036| -3.963|NGC 1220         | 1800
168.648|-13.720|FSR 0756         | 1800
172.619| +0.306|NGC 1907         | 1800
110.728| +2.669|FSR 0413         | 1800
219.885| +1.012|NGC 2338         | 1800
120.363| -0.345|FSR 0498         | 1800
316.445| +3.309|Turner 7         | 1800
016.954| +0.793|NGC 6611         | 1800
187.442| -1.114|Basel 11b        | 1800
096.629| -2.023|FSR 0325         | 1800
019.694| -1.201|Ruprecht 141     | 1800
173.694| -1.363|SAI 48           | 1800
072.720| +7.557|Skiff J1942+38.6 | 1801
355.117| +0.209|Antalova 4       | 1802
314.841| +0.994|NGC 5606         | 1805
306.149| +0.063|Stock 16         | 1810
079.590| +1.892|Dolidze 11       | 1813
076.640| -4.028|Ruprecht 173     | 1817
151.142| -0.653|FSR 0667         | 1818
162.023| -2.746|FSR 0714         | 1819
264.820|+22.289|ESO 435 48       | 1819
315.139| -2.640|Loden 1373       | 1819
232.061| +2.683|Ruprecht 26      | 1820
146.969| -3.709|NGC 1348         | 1820
244.716| +2.268|Ruprecht 49      | 1823
329.281| -1.498|NGC 6031         | 1823
277.829| +0.689|Pismis 16        | 1824
298.379| -2.708|FSR 1605         | 1828
000.009| -1.877|ESO 456 05       | 1828
250.652| +8.887|ESO 432 03       | 1831
230.004| -7.555|Ruprecht 5       | 1834
183.352| -0.569|FSR 0849         | 1836
344.496| +1.570|ESO 332 11       | 1841
083.645|+10.129|Patchick 89      | 1845
118.968| -3.314|FSR 0486         | 1850
294.367| +6.183|NGC 3960         | 1850
269.209| -1.843|Collinder 205    | 1853
287.410| -0.369|Trumpler 15      | 1853
261.980| +8.584|NGC 2818         | 1855
113.015| -1.040|Skiff J2330+60.2 | 1859
134.516| +2.048|SAI 21           | 1860
265.540| -3.365|FSR 1441         | 1864
096.467| -2.102|FSR 0322         | 1867
263.577| +8.078|ESO 314 14       | 1870
238.774|-15.075|Ruprecht 2       | 1871
321.946| +3.262|Loden 2115       | 1876
279.372| +4.883|Ruprecht 87      | 1876
027.307| -2.776|NGC 6705         | 1877
286.048| +4.700|BH 106           | 1879
181.506| -3.892|FSR 0842         | 1881
224.768| +0.068|NGC 2351         | 1882
229.807| -1.426|NGC 2360         | 1887
088.751| +1.052|FSR 0282         | 1887
236.560|-14.401|vdBergh 83       | 1893
066.882| +0.783|NGC 6847         | 1894
112.841| -2.865|King 20          | 1900
328.851| -0.477|Trumpler 23      | 1900
231.796| -0.587|Haffner 9        | 1900
290.171| +2.895|Trumpler 19      | 1900
002.881| -2.844|NGC 6520         | 1900
349.889| +3.075|ASCC 88          | 1900
173.107| +0.046|Kronberger 1     | 1900
310.849| -0.337|Lynga 1          | 1900
286.236| -0.290|Carraro 1        | 1900
235.471| +1.778|NGC 2432         | 1900
139.585|+27.352|OCl 374          | 1900
286.117| -0.361|Loden 165        | 1900
035.145| +1.752|FSR 0101         | 1900
206.943| +2.798|FSR 1025         | 1905
076.870| -4.262|Turner 11        | 1905
037.128| +2.633|Czernik 38       | 1910
