#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-09T05:26:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5486873a2e45	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-sort=_r
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ5486873a2e45&-out.src=I/239/hip_main&Clear= Clear&-c.r=  2&-sort=_r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&Vmag=<6&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&-out=HD&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.geom=r&-out.max=50&-out.form=HTML Table&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=Vmag
#Vmag=<6
#-out=Plx
#-out=HD
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Coosys	G:	galactic
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	_Glon	(F8.4)	Galactic longitude at Epoch=J1991.25, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F8.4)	Galactic latitude at Epoch=J1991.25, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	HD	(I6)	[1/359083]? HD number <III/135> (H71) [NULL integer written as an empty string]	[ucd=meta.id]
_Glon|_Glat|Vmag|Plx|HD
199.7872| -8.9587| 0.45|   7.63| 39801
243.0718|-26.5310| 4.97|   9.93| 40176
210.6703|-14.5406| 5.87|  10.71| 39910
228.2543|-21.8789| 5.95|  11.18| 40151
237.0252|-24.7292| 5.52|   2.23| 40248
219.7556|-18.4714| 3.71|  66.47| 40136
198.0900| -7.6539| 5.97|   4.68| 39985
196.3665| -6.5908| 5.89|  10.62| 40020
241.2264|-25.6377| 4.36|   3.82| 40494
183.9655|  0.8388| 4.81|   1.55| 40111
205.1443|-10.9165| 5.89|   9.24| 40372
250.7748|-27.5866| 5.81|   2.58| 40733
206.3505|-11.4263| 5.21|   8.88| 40446
195.4892| -5.5185| 5.70|   3.89| 40369
215.6698|-15.9326| 5.04|   9.93| 40536
249.4567|-27.2305| 3.96|   6.14| 40808
162.9462| 12.6999| 5.90|   2.90| 40084
158.9513| 14.6878| 3.72|  23.22| 40035
167.4569| 10.4096| 1.90|  39.72| 40183
174.3382|  6.7293| 2.65|  18.83| 40312
166.6023| 10.9372| 4.30|   3.88| 40239
209.7864|-12.8285| 4.53|   7.77| 40657
258.8555|-28.5270| 5.65|  15.82| 41214
164.9102| 12.0068| 5.71|   3.19| 40394
240.0217|-24.5058| 5.54|   5.87| 41047
164.0053| 12.5999| 5.98|   4.75| 40486
216.9504|-15.7658| 4.92|   3.33| 40967
198.6835| -6.3127| 4.12|  21.49| 40932
232.3324|-21.6194| 5.03|   8.41| 41312
190.0282| -1.1755| 5.14|   3.05| 41040
189.6917| -0.8604| 4.64|   0.10| 41117
186.9924|  0.7153| 4.16|  21.64| 41116
213.6003|-13.5369| 5.19|   3.55| 41335
238.4259|-23.3614| 5.65|   3.01| 41534
252.1810|-26.7586| 5.93|  37.01| 41742
202.7308| -7.7786| 5.67|   2.96| 41361
203.8528| -8.3758| 5.63|   1.31| 41380
222.8670|-17.5285| 4.92|   3.05| 41511
169.6960| 10.3703| 5.90|  19.38| 41074
217.0140|-14.8117| 5.88|  16.96| 41547
241.9800|-24.1585| 5.80|  12.40| 41759
236.0813|-22.2222| 5.79|  12.25| 41843
221.5086|-16.6378| 4.67|  19.14| 41695
275.7957|-29.1854| 5.72|   9.82| 42525
229.4585|-19.7753| 5.46|   6.86| 41841
173.8671|  8.5268| 5.35|   8.57| 41357
211.5717|-11.8717| 5.37|   1.53| 41692
228.2219|-19.1950| 5.74|   3.50| 41933
271.3626|-28.8936| 5.04|   8.28| 42540
240.8348|-23.4838| 5.82|   3.10| 42054
243.9378|-24.2628| 5.00|   4.28| 42167
194.8064| -2.7212| 4.42|   6.10| 41753
225.7186|-18.0102| 5.28|   4.59| 42042
249.1638|-25.5096| 5.50|  12.48| 42303
279.0095|-28.9960| 5.06|  11.78| 43107
229.0108|-18.9991| 5.49|  12.77| 42301
205.8060| -8.2764| 5.70|   5.35| 42111
188.5389|  1.2839| 5.93|   0.53| 42049
221.5333|-15.7401| 5.56|  15.35| 42341
187.7518|  1.7688| 5.75|  -0.51| 42087
229.4277|-18.9527| 5.71|  18.48| 42443
155.1751| 17.9373| 5.35|   9.34| 41597
247.3678|-24.6269| 5.54|   3.82| 42682
285.7576|-28.8020| 5.08|  98.54| 43834
263.3029|-27.6837| 4.72|   1.97| 42933
233.8227|-20.3981| 5.72|   9.84| 42621
275.3068|-28.6454| 5.01|   4.86| 43455
186.8041|  2.7597| 5.83|   4.33| 42398
164.9734| 13.9502| 5.78|  10.49| 42126
214.3186|-11.7672| 5.06|   2.71| 42690
195.8074| -2.0649| 4.45|   5.14| 42560
190.9209|  0.6346| 5.76|   3.36| 42509
194.1344| -1.1180| 4.95|   4.21| 42545
179.5792|  6.8416| 5.78|   2.31| 42471
148.6237| 20.7516| 5.36|   5.08| 41927
211.9944|-10.0525| 5.83|  10.36| 43023
192.8530|  0.2412| 5.86|   7.21| 42954
212.8251|-10.2684| 5.83|   5.28| 43157
191.7964|  0.9159| 5.20|  47.33| 43042
214.4046|-10.9789| 3.99|   5.06| 43232
188.8533|  2.5186| 3.31|   9.34| 42995
227.5096|-16.8377| 5.88|   3.51| 43396
196.4932| -1.5541| 5.91|   2.38| 43112
225.8092|-16.0860| 5.99|  15.66| 43429
182.7264|  5.9209| 4.32|  19.31| 43039
194.5099| -0.4025| 5.34|   6.80| 43153
213.2398|-10.2278| 5.99|  15.03| 43319
209.2757| -8.2084| 5.62|  28.02| 43318
154.4274| 19.0098| 5.37|   6.54| 42633
221.3691|-14.0184| 5.00|   8.70| 43445
197.7076| -2.0425| 5.44|   2.33| 43247
224.1312|-15.1459| 5.97|   3.90| 43544
198.0340| -2.0263| 5.04|  51.00| 43386
242.3470|-21.8891| 4.37|  17.83| 43785
245.0459|-22.6054| 5.54|  10.78| 43899
200.1649| -2.9854| 5.39|  12.85| 43525
244.5557|-22.4319| 5.88|  16.10| 43940
204.4683| -5.2289| 5.70|  51.76| 43587
224.4781|-14.8857| 5.15|   5.75| 43827
153.0320| 19.8109| 5.01|   5.53| 42973
227.5187|-16.0511| 5.51|   3.28| 43955
217.6985|-11.4700| 5.36|   6.38| 43993
145.1591| 22.4613| 4.76|  18.55| 42818
228.5073|-16.2712| 5.79|   1.77| 44081
155.5940| 19.1166| 4.44|  21.88| 43378
241.8138|-21.0401| 5.76|   8.24| 44323
216.3616|-10.5868| 5.27|   3.96| 44112
211.9726| -8.3366| 4.91|   6.44| 44131
196.3552| -0.1230| 5.67|   5.95| 44033
237.5220|-19.4336| 3.02|   9.70| 44402
241.6261|-20.7771| 5.55|   1.62| 44506
220.1705|-11.9384| 5.48|   1.95| 44458
161.1454| 17.3316| 5.34|  17.54| 43905
241.0265|-20.2440| 3.85|  13.75| 44762
280.3538|-27.8153| 5.56|   5.48| 45669
226.0598|-14.2680| 1.98|   6.53| 44743
265.1798|-26.1560| 5.60|  19.87| 45229
189.7263|  4.1692| 2.87|  14.07| 44478
205.6749| -4.0331| 4.39|  25.39| 44769
233.4416|-17.0364| 5.61|   4.68| 45018
261.2121|-25.2923|-0.62|  10.43| 45348
244.4622|-20.9603| 5.62|  10.58| 45145
220.2455|-11.2238| 5.21|   7.76| 44951
269.5184|-26.6322| 5.78|  11.37| 45557
165.3544| 16.1744| 4.92|   0.85| 44537
210.7842| -6.2515| 5.88|  30.22| 45067
280.0412|-27.5519| 5.37|  12.25| 46116
256.4484|-23.9689| 5.76|   4.83| 45572
158.6317| 18.9957| 5.53|  12.01| 44691
211.4462| -6.1997| 5.87|  14.26| 45320
156.5302| 19.7833| 5.21|   4.78| 44708
267.0786|-25.8970| 5.82|   5.38| 45984
209.8969| -5.2471| 5.19|   3.43| 45416
210.4141| -5.5038| 5.55|   4.35| 45433
207.5855| -4.0224| 5.55|  11.15| 45415
214.5161| -7.3861| 5.06|   2.41| 45546
240.6416|-18.7563| 4.47|   8.03| 45813
183.1463|  8.9157| 5.75|   2.09| 45412
226.2044|-12.7813| 5.76|   7.69| 45765
240.4738|-18.5867| 5.74|   3.96| 45871
216.6614| -8.2139| 3.76|   4.72| 45725
192.4207|  4.3455| 4.13|   6.49| 45542
265.8944|-25.3625| 5.20|  10.44| 46355
258.8150|-23.8372| 5.28|  19.33| 46273
168.1979| 15.9548| 5.88|   6.15| 45466
219.5779| -9.2620| 5.92|   0.52| 45976
236.1665|-16.4612| 5.92|   2.89| 46189
156.9706| 20.1901| 5.86|  17.56| 45410
243.5282|-19.1024| 5.82|   4.02| 46349
260.5610|-23.9995| 5.58|  26.87| 46569
221.8150|-10.0099| 5.16|   9.51| 46184
200.4363|  0.9538| 5.22|  15.44| 46089
218.0153| -8.0462| 5.43|   3.75| 46229
232.1111|-14.5320| 4.34|   1.59| 46328
268.0299|-25.4045| 5.69|   4.50| 46860
206.4283| -2.0222| 5.88|   6.30| 46241
246.0407|-19.7180| 5.25|  11.95| 46568
216.0116| -6.9001| 5.60|  23.13| 46304
181.7241| 10.5189| 5.82|  11.86| 46052
240.4602|-17.6754| 5.73|   3.89| 46547
204.2968| -0.7510| 4.47|   2.16| 46300
198.3200|  2.5461| 5.57|  12.75| 46374
211.9874| -4.5179| 5.09|   6.08| 46487
244.6878|-18.9432| 5.42|   8.02| 46815
241.2869|-17.5447| 5.62|   6.70| 46936
261.9290|-23.7350| 4.35|   1.85| 47306
231.9894|-13.6761| 4.54|   7.92| 46933
186.0373|  9.1265| 5.26|   7.30| 46553
210.2926| -3.1910| 5.78|   1.14| 46769
202.2123|  0.9968| 5.93|   2.06| 46709
245.3470|-18.8352| 5.59|   5.62| 47144
228.1056|-11.6100| 5.71|  11.79| 47138
176.5153| 13.7839| 5.40|   1.80| 46687
215.8946| -5.6701| 5.52|   3.91| 47054
228.6881|-11.7962| 3.95|  50.41| 47205
223.2441| -9.2316| 5.95|   4.24| 47182
245.6897|-18.5660| 5.72|   1.97| 47500
158.6058| 20.6418| 5.87|  10.12| 46590
153.8717| 22.0361| 5.94|  18.82| 46480
196.7735|  4.4526| 1.93|  31.12| 47105
251.9353|-20.5371| 3.17|   7.71| 47670
241.1817|-16.7782| 5.25|   8.24| 47536
227.8697|-11.1069| 4.42|   7.03| 47442
185.4659| 10.1739| 5.76|   7.74| 47152
257.1228|-21.9107| 5.05|   7.48| 47973
175.7916| 14.5391| 5.70|  10.30| 47070
175.3186| 14.7698| 5.34|   4.30| 47100
224.2642| -9.0446| 4.82|   2.07| 47667
172.8862| 15.8631| 4.80|   7.54| 47174
239.5405|-15.6914| 5.70|  13.54| 47946
200.0533|  3.3482| 5.99|  11.28| 47575
292.6040|-27.2062| 5.61|   8.07| 50506
136.2871| 25.9232| 5.75|   5.63| 45866
143.0936| 24.8215| 5.88|   4.92| 46509
202.9363|  2.1985| 4.66|   3.19| 47839
211.3107| -2.0759| 5.79|   2.82| 47964
220.0480| -6.2606| 5.21|   8.63| 48217
196.1644|  6.0159| 5.20|  23.41| 48097
171.1814| 17.2545| 5.04|  10.66| 47914
208.5443|  0.0621| 5.88|  -0.14| 48434
189.5360|  9.6291| 3.06|   3.61| 48329
200.2982|  4.3693| 4.49|  11.82| 48433
240.5253|-14.9804| 5.23|   1.25| 48917
186.0814| 11.4301| 5.42|   5.72| 48450
227.2282| -8.8878|-1.44| 379.21| 48915
200.7391|  4.5024| 3.35|  57.02| 48737
241.2925|-15.0827| 5.92|  41.20| 49095
240.5002|-14.7267| 5.62|   2.06| 49131
261.8088|-21.9901| 5.81|   2.37| 49517
225.5744| -7.8686| 5.30|   8.19| 49048
156.3050| 22.4814| 4.86|  14.26| 48250
134.5946| 26.4099| 5.44|  56.02| 46588
204.7281|  2.8247| 5.92|   2.92| 48977
221.4154| -5.6426| 5.66|   6.09| 49147
172.3561| 17.5240| 5.24|  60.56| 48682
158.6871| 21.9280| 5.34|  15.69| 48432
225.3317| -7.5185| 5.28|   5.08| 49229
260.6754|-21.5166| 5.39|   3.60| 49689
265.1252|-22.6459| 5.60|   5.45| 49877
205.3075|  2.7491| 4.77|   6.73| 49161
247.3652|-17.0251| 5.27|   9.85| 49591
220.5281| -4.9313| 5.08|   2.49| 49331
167.2552| 19.4733| 5.22|   7.69| 48781
210.3775|  0.3045| 4.48|   8.74| 49293
271.9193|-24.0994| 3.24|  32.96| 50241
160.2578| 21.6929| 5.54|  21.26| 48766
213.7503| -1.2954| 5.75|  24.95| 49434
226.2092| -7.3777| 5.39|   5.37| 49662
214.7078| -1.5171| 5.75|   5.84| 49643
183.1271| 13.8863| 5.72|  10.63| 49380
198.2601|  6.9639| 5.87|   3.52| 49606
242.3552|-14.4944| 3.50|   4.13| 50013
263.2440|-21.7631| 4.41|   5.90| 50337
256.1186|-19.6009| 5.14|  39.66| 50223
260.1630|-20.8626| 2.94|  17.85| 50310
228.1161| -7.9293| 5.77|   2.10| 49980
241.6422|-14.0703| 5.74|   4.54| 50123
200.8386|  5.8514| 5.68|   2.17| 49738
174.3923| 17.5701| 4.99|   8.95| 49520
213.3436| -0.3816| 5.78|  33.45| 49933
244.2114|-15.0234| 4.99|   3.60| 50235
147.8022| 24.8833| 5.14|   3.76| 48879
281.7412|-25.5330| 5.41|   5.84| 51557
193.3847|  9.7563| 5.28|   6.16| 49908
246.0615|-15.5843| 5.94|  18.14| 50445
191.7386| 10.6358| 5.68|   6.36| 49968
182.1051| 15.0155| 3.60|  16.59| 50019
205.6177|  4.1166| 5.75|  15.98| 50277
156.5416| 23.3241| 5.34|   7.40| 49618
230.1951| -8.1528| 5.65|   9.90| 50644
231.3029| -8.6235| 4.82|   2.02| 50707
146.4245| 25.3754| 5.11|   3.26| 49340
234.9834|-10.2101| 3.89|   1.65| 50877
223.9822| -4.8558| 4.08|  12.94| 50778
214.2738|  0.1475| 5.44|   6.73| 50747
201.5103|  6.6655| 4.73|  35.79| 50635
231.6220| -8.3865| 5.80|   5.39| 51055
190.4186| 12.0639| 5.74|  57.89| 50692
231.4382| -8.1473| 4.66|  34.21| 51199
234.0094| -9.3348| 5.29|   1.51| 51283
225.9913| -5.3388| 5.00|   3.59| 51250
228.7030| -6.6777| 4.36|   1.06| 51309
258.6012|-19.2873| 4.94|   3.07| 51799
204.6066|  5.6203| 5.90|   5.81| 51104
170.3004| 20.0718| 5.85|   3.95| 50658
291.1069|-26.3958| 5.45|   9.17| 54239
169.8881| 20.2747| 5.88|   9.76| 50763
182.7235| 15.7164| 5.91|   8.47| 51000
157.7693| 23.5995| 4.35|  19.14| 50522
235.7335| -9.6955| 5.45|  25.94| 51733
171.5538| 19.8708| 4.90|  14.49| 50973
244.6067|-13.4902| 5.07|   4.29| 52092
236.5529| -9.8214| 5.59|   3.13| 52018
239.8311|-11.3298| 1.50|   7.57| 52089
210.5779|  3.3113| 5.96|   3.52| 51814
278.6037|-24.2215| 5.18|  11.26| 53501
137.5518| 26.8594| 4.55|  17.43| 49878
199.4822|  9.1613| 5.73|   0.56| 52005
221.4326| -1.8487| 5.95|   2.97| 52312
261.5418|-19.4849| 5.14|   5.28| 53047
236.6190| -9.2260| 5.64|   3.17| 52670
144.4250| 26.3146| 5.69|   7.14| 50885
239.1689|-10.2738| 3.49|   2.68| 52877
219.2195| -0.2806| 5.22|   4.78| 52666
200.3749|  9.2783| 5.78|   5.06| 52556
192.1817| 13.0549| 5.20|   1.97| 52497
198.1737| 10.3508| 5.96|   2.41| 52554
199.1789|  9.9144| 5.86|   1.70| 52609
218.0123|  0.6139| 4.99|   2.92| 52918
235.5546| -8.2280| 3.02|   1.27| 53138
269.5424|-21.5977| 5.50|   6.77| 53921
206.1040|  6.7694| 5.96|  12.59| 52913
187.4355| 15.3227| 5.93|  52.37| 52711
204.5035|  7.6492| 5.14|   4.39| 52960
228.2518| -4.4062| 4.11|   8.11| 53244
259.9089|-18.4105| 4.92|  16.98| 53811
254.0850|-16.2199| 5.56|  61.54| 53705
252.8691|-15.7195| 5.20|  10.34| 53704
219.1105|  0.3768| 5.63|   2.50| 53208
195.7465| 11.9031| 4.01|   2.79| 52973
267.1060|-20.7290| 5.14|  11.55| 54118
206.3217|  7.3101| 5.78|   5.80| 53510
182.6919| 17.7767| 5.55|  10.68| 53329
224.7096| -1.7938| 5.41|   1.15| 53974
251.7243|-14.6265| 5.80|   3.87| 54475
262.4596|-18.7496| 5.96|   5.78| 54732
183.2395| 17.8364| 5.94|   4.79| 53686
236.0061| -7.3390| 5.75|   1.10| 54309
208.1101|  7.0267| 5.74|   5.74| 54079
200.4704| 10.8546| 5.47|  10.68| 54131
238.4175| -8.2666| 1.83|   1.82| 54605
281.5529|-24.0452| 5.68|  22.16| 55864
281.5557|-24.0422| 3.78|  23.02| 55865
250.6921|-13.8266| 4.83|   4.34| 54893
237.5003| -7.4828| 5.69|   1.78| 54912
218.8487|  2.2347| 4.91|  15.45| 54810
239.6053| -8.3669| 5.46|   5.07| 55070
259.6982|-17.1256| 5.12|  10.43| 55526
187.2185| 17.1991| 4.41|  10.81| 54719
190.5111| 15.9628| 5.75|   8.36| 54801
215.4806|  4.3008| 5.44|  12.49| 55057
178.2682| 20.4625| 4.91|   7.02| 54716
233.8032| -5.1144| 5.84|   6.67| 55344
215.7048|  4.3180| 4.15|   8.70| 55185
238.3950| -7.3000| 5.91|   4.54| 55522
251.7586|-13.5750| 5.30|   7.51| 55719
248.0884|-11.8946| 5.94|   3.61| 55718
193.2131| 15.1132| 5.85|   9.34| 55052
257.7187|-16.0252| 4.49|  47.22| 55892
225.4002| -0.3731| 5.77|   4.93| 55589
256.2580|-15.3025| 4.87|  17.97| 56022
200.7822| 12.0395| 5.07|   4.66| 55383
165.7996| 24.1779| 5.46|   4.22| 54895
235.5857| -5.5781| 5.99|   4.18| 55762
255.7654|-15.0364| 4.42|  16.46| 56096
219.0053|  3.2643| 5.80|   5.32| 55775
238.9727| -7.0737| 4.42|   2.07| 56014
224.3752|  0.4798| 5.90|   1.39| 55832
212.7650|  6.5105| 5.36|   4.35| 55751
204.6310| 10.5613| 5.71|   9.85| 55730
259.3117|-16.2870| 4.75|   9.20| 56456
192.7013| 15.8834| 5.84|   9.68| 55621
257.9579|-15.7129| 5.72|   7.67| 56455
239.4072| -7.1521| 4.01|   3.53| 56139
239.6501| -7.2634| 5.58|  11.96| 56160
252.8431|-13.4948| 5.95|   5.91| 56410
242.9938| -8.8003| 5.36|   5.05| 56342
263.4514|-17.7772| 5.96|   8.39| 56705
208.5254|  8.9894| 5.78|   5.40| 56031
225.1055|  0.5024| 5.95|   8.12| 56207
170.3422| 23.5150| 5.54|  59.31| 55575
156.9944| 26.1934| 5.20|  16.88| 55280
189.9103| 17.2971| 5.75|   3.02| 55870
229.5920| -1.7140| 5.46|  11.79| 56405
257.9908|-15.4489| 5.64|   4.71| 56813
250.0835|-11.9131| 5.81|   4.80| 56733
240.5834| -7.3019| 4.66|   7.20| 56618
236.4985| -5.2139| 4.83|   0.52| 56577
248.5185|-11.1182| 5.03|   3.40| 56779
279.0857|-22.6885| 3.97|   4.94| 57623
249.0107|-11.2790| 2.71|   2.98| 56855
165.2109| 24.9673| 5.93|   5.35| 55866
177.0824| 22.1090| 5.87|  12.18| 56221
255.4875|-14.0301| 5.86|   5.25| 57197
200.9167| 13.2276| 3.58|  34.59| 56537
248.7798|-10.9117| 4.65|   3.85| 57150
168.1072| 24.5051| 5.00|  10.97| 56169
251.0798|-11.9375| 5.24|   6.95| 57240
248.8172|-10.8560| 5.11|   3.90| 57219
237.8244| -5.3679| 4.88|   1.09| 57060
238.1809| -5.5430| 4.37|   1.02| 57061
239.6533| -6.2627| 5.29|   2.41| 57146
213.6729|  7.4633| 5.90|   6.27| 56989
230.6699| -1.4062| 5.70|  22.71| 57167
209.7446|  9.5368| 5.91|  16.86| 57006
195.9849| 15.8851| 3.50|  55.45| 56986
263.5703|-16.9997| 5.50|  28.75| 57852
263.3701|-16.8718| 5.38|   6.61| 57917
229.0432| -0.1316| 5.59|   5.86| 57478
239.2638| -5.5017| 5.87|   4.51| 57615
172.7330| 23.8993| 5.74|  28.99| 56963
197.6274| 15.6619| 5.09|   7.61| 57423
181.5673| 21.5820| 5.12|  13.90| 57264
216.2805|  6.8899| 5.99|   0.61| 57608
233.2944| -2.0565| 4.94|   6.31| 57821
221.8074|  4.1162| 5.83|   3.59| 57749
161.9599| 26.3656| 5.80|   6.96| 57103
244.8550| -7.8964| 5.40|   2.28| 58155
193.3412| 17.7832| 5.04|  21.17| 57727
241.2444| -5.9247| 5.37|   5.94| 58215
245.1558| -7.9253| 5.41|   2.82| 58286
242.6165| -6.4857| 2.45|   1.02| 58350
177.6675| 23.1521| 5.23|   4.48| 57669
190.9049| 18.9695| 5.77|  15.57| 57927
231.0871| -0.2140| 5.18|   3.45| 58343
244.9206| -7.5193| 5.35|   5.91| 58535
165.7397| 26.0278| 5.80|   2.84| 57646
206.1680| 12.6679| 5.37|  10.28| 58187
228.9841|  1.0470| 5.79|  28.72| 58461
239.1244| -4.3198| 5.79|   1.01| 58612
291.0179|-25.0062| 5.54|   6.99| 60816
208.4480| 11.7784| 4.99|   3.30| 58367
190.8462| 19.2691| 3.78|  25.90| 58207
222.0236|  4.9673| 5.98|   1.72| 58526
262.7166|-15.6326| 5.09|   5.80| 59219
247.2040| -8.2213| 5.90|   3.35| 59026
168.7136| 25.7456| 4.61|  13.11| 58142
198.2909| 16.6603| 5.94|   8.04| 58579
237.4106| -2.9978| 5.65|   2.30| 58978
232.8306| -0.4861| 5.60|  11.63| 58954
209.5199| 11.6787| 2.89|  19.16| 58715
237.2899| -2.7434| 5.98|   3.70| 59136
197.2262| 17.3002| 5.20|  29.38| 58728
227.3663|  2.6732| 5.79|   3.23| 59067
242.8833| -5.6660| 5.55|   4.84| 59256
210.8517| 11.2791| 5.22|   9.28| 58923
209.0483| 12.1830| 4.33|   8.20| 58972
245.3645| -6.7617| 5.95|   5.60| 59499
169.9131| 25.8679| 5.70|   7.95| 58661
245.0384| -6.5352| 5.78|   2.85| 59550
251.6356| -9.9251| 5.41|   5.86| 59635
187.1340| 21.3443| 4.16|  54.06| 58946
255.7364|-11.9120| 3.25|  17.74| 59717
218.9862|  7.5369| 5.60|   2.00| 59311
190.8324| 20.1287| 5.07|  20.00| 59037
226.4589|  3.5839| 5.75|   3.52| 59381
224.0161|  4.9134| 5.86|  35.95| 59380
206.3760| 13.8792| 4.55|   5.82| 59294
191.0731| 20.1543| 5.01|   8.51| 59148
237.6704| -2.3887| 4.85|   1.01| 59612
168.3337| 26.3534| 5.35|  50.25| 58855
264.5027|-15.7880| 5.87|   9.87| 60060
266.1970|-16.4303| 5.95|   7.53| 60228
244.7643| -5.9958| 4.65|   1.86| 59890
147.2784| 28.6917| 5.63|   7.20| 58425
131.4184| 28.1782| 4.92|   6.89| 55966
201.8037| 16.4419| 5.45|  10.81| 59686
225.5052|  4.8637| 5.90|  33.40| 59984
215.8821|  9.9168| 5.24|   4.14| 59881
239.5144| -2.5354| 5.84|  10.66| 60345
214.7639| 10.7873| 5.59|  23.44| 60111
234.8924|  0.0579| 5.64|  11.15| 60341
203.1860| 16.3214| 5.27|   8.69| 60107
230.6669|  2.5211| 4.82|   0.97| 60414
249.8537| -7.9482| 5.42|   2.56| 60606
237.4981| -1.1897| 4.44|  38.91| 60532
214.8135| 11.0623| 5.83|   4.82| 60357
238.5573| -1.7081| 5.06|  34.41| 60584
241.6872| -3.3664| 5.78|  10.41| 60666
187.4408| 22.4798| 1.58|  63.27| 60179
188.4304| 22.2874| 5.34|  10.78| 60318
242.9637| -3.8661| 4.65|  14.50| 60863
264.7660|-14.9575| 4.93|   8.28| 61248
192.6052| 21.0616| 4.06|  13.57| 60522
230.9054|  3.0160| 5.66|   1.97| 60855
172.4084| 26.7089| 5.66|   6.29| 60437
212.8068| 12.6989| 5.89|  22.92| 60803
235.5303|  0.6084| 5.69|   1.92| 61068
261.4049|-13.1918| 5.69|   6.56| 61391
161.7719| 28.3842| 5.93|  11.63| 60294
221.8942|  8.2612| 5.14|  16.11| 61064
248.9786| -6.6700| 4.53|   9.10| 61330
169.6062| 27.4543| 5.93|  12.44| 60652
240.6522| -1.8360| 4.69|   5.92| 61429
261.3134|-12.8578| 5.68|   0.65| 61715
184.4453| 24.2408| 5.58|  10.65| 60986
250.4637| -7.1586| 5.78|   3.38| 61641
241.9662| -2.4370| 3.80|   7.18| 61555
184.9724| 24.2247| 4.89|  20.62| 61110
213.7007| 13.0221| 0.40| 285.93| 61421
252.1378| -7.8979| 4.84|   5.68| 61831
202.0115| 18.3539| 5.04|   6.13| 61338
252.0142| -7.7699| 5.73|   5.33| 61878
252.1282| -7.8163| 5.76|   2.92| 61899
251.5407| -7.4610| 5.99|   2.41| 61925
235.9031|  1.3552| 5.92|   4.53| 61774
181.0642| 25.4940| 5.77|   4.00| 61294
232.0899|  3.5513| 4.98|   4.82| 61772
126.2216| 27.7231| 5.05|   6.53| 51802
196.9183| 20.7309| 5.93|   2.14| 61603
170.4331| 27.8750| 5.58|  10.01| 61363
227.1863|  6.5222| 3.94|  22.61| 61935
252.5088| -7.6950| 5.41|   5.28| 62226
215.4308| 12.8049| 5.95|   6.47| 61887
284.5710|-22.1551| 3.93|  24.36| 63295
206.2791| 17.1690| 5.79|   4.15| 61885
205.6052| 17.5129| 5.55|   3.19| 61913
242.0104| -1.4413| 5.64|   9.79| 62412
258.5749|-10.5765| 5.04|  41.43| 62644
158.5107| 29.5245| 4.93|  13.75| 61497
250.5087| -6.1543| 5.60|   5.45| 62578
191.1888| 23.2745| 4.23|  26.68| 62044
243.8803| -2.3225| 4.63|   3.34| 62576
254.8610| -8.4393| 5.12|  15.13| 62713
244.3819| -2.5418| 3.94|  -0.37| 62623
167.9448| 28.7219| 5.31|   4.73| 61931
194.4186| 22.3909| 5.30|   5.48| 62285
250.6156| -5.9909| 5.80|  22.99| 62781
195.8479| 21.9723| 3.57|  22.73| 62345
240.7546| -0.2601| 5.62|   1.75| 62747
252.3053| -6.8409| 5.89|   5.36| 62893
252.3944| -6.7357| 3.62|   2.35| 63032
192.2297| 23.4077| 1.16|  96.74| 62509
249.1120| -4.8069| 5.36|  65.79| 63077
232.1437|  5.0653| 5.03|  13.80| 62952
225.3115|  8.9043| 5.49|  13.68| 62902
201.8573| 20.1352| 4.89|   9.55| 62721
252.4536| -6.5604| 5.87|   5.16| 63215
209.3269| 17.0009| 5.25|  10.44| 62832
182.3221| 26.4955| 5.15|   9.99| 62647
150.7549| 30.1995| 5.93|   9.82| 62066
239.1941|  1.3439| 5.90|   3.30| 63271
